,code,papers,keywords,category,code_fraction
"Google, Google Brain, DeepMind",101,170,"google, deepmind",industry,0.5941176470588235
Massachusetts Institute of Technology,63,86,"mit, massachusetts institute of technology",academy,0.7325581395348837
Stanford University,66,85,stanford,academy,0.7764705882352941
Carnegie Mellon University,65,83,"CMU, Carnegie Mellon University",academy,0.7831325301204819
Microsoft Research,53,76,microsoft,industry,0.6973684210526315
"University of California, Berkeley",43,58,berkeley,academy,0.7413793103448276
Princeton University,24,54,princeton,academy,0.4444444444444444
Columbia University,36,45,columbia university,academy,0.8
Facebook AI Research,33,43,facebook,industry,0.7674418604651163
University of Oxford,36,41,oxford,academy,0.8780487804878049
IBM research,22,36,ibm,industry,0.6111111111111112
INRIA,31,36,inria,academy,0.8611111111111112
Tsinghua University,26,34,tsinghua,academy,0.7647058823529411
University of Texas at Austin,28,34,"University of Texas at Austin, UAT, UT-Austin, UT Austin",academy,0.8235294117647058
Cornell University,27,32,cornell,academy,0.84375
Georgia Institute of Technology,21,30,"georgia tech, gatech, Georgia Institute of Technology",academy,0.7
MILA,27,29,mila,academy,0.9310344827586207
University of Washington,21,28,University of Washington,academy,0.75
University of Illinois at Urbana-Champaign,19,28,"uiuc, University of Illinois at Urbana",academy,0.6785714285714286
University of Toronto,21,28,"University of Toronto, uoft",academy,0.75
New York University,22,27,"nyu, New York University",academy,0.8148148148148148
"University of California, Los Angeles",19,27,"ucla, University of California Los Angeles",academy,0.7037037037037037
Peking University,19,25,peking university,academy,0.76
ETH Zurich,19,25,"ETH Zurich, ETHZ, ETH Zürich",academy,0.76
Amazon,19,24,amazon,industry,0.7916666666666666
Harvard University,20,24,harvard,academy,0.8333333333333334
EPFL,23,24,EPFL,academy,0.9583333333333334
University of Southern California,16,22,"University of Southern California, USC",academy,0.7272727272727273
Duke University,12,22,duke,academy,0.5454545454545454
RIKEN,16,21,riken,industry,0.7619047619047619
University of Cambridge,19,20,university of cambridge,academy,0.95
Tencent,16,18,Tencent,industry,0.8888888888888888
Rutgers,12,16,Rutgers,academy,0.75
Imperial College London,16,16,imperial,academy,1.0
University of Massachusetts Amherst,8,12,Amherst,academy,0.6666666666666666
uber,11,11,uber,industry,1.0
nvidia,10,10,nvidia,industry,1.0
covariant,8,8,covariant,industry,1.0
